Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, True, -1.28, -1.67, 1.60, -1.37, -4.96, 0.00 
8, True, -1.75, -1.47, 1.85, -0.21, -1.89, 0.00 
9, True, -1.83, -2.59, 2.14, -6.35, -3.94, 0.00 
10, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
11, True, -0.59, -0.03, 2.04, 27.33, 0.59, 0.00 
12, True, -1.96, 0.40, 1.70, -2.99, 0.94, 0.00 
13, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
