Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, True, -0.01, 0.86, 1.47, -0.35, -0.57, 0.00 
9, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
10, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
