Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, True, 0.20, -0.20, 1.86, -1.19, 1.99, 0.00 
8, True, 2.24, 1.96, 2.04, 15.34, -2.29, 0.00 
9, True, 0.31, 0.65, 2.17, 15.23, 0.37, 0.00 
10, True, 0.18, 0.45, 2.01, 1.99, -16.47, 0.00 
11, True, 1.11, 2.45, 2.12, 21.25, -15.57, 0.00 
12, True, 0.23, 0.75, 2.25, 17.47, -14.63, 0.00 
13, True, 2.04, 1.81, 0.71, 5.61, -5.61, 0.00 
