Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, True, 1.10, -3.64, 1.21, -1.90, 0.16, 0.00 
5, True, 0.33, 0.47, 2.22, -0.87, 0.24, 0.00 
6, True, 0.50, -0.36, 2.23, 0.26, -0.03, 0.00 
7, True, 0.31, -0.44, 2.30, 0.59, 1.12, 0.00 
8, True, 0.76, -0.27, 2.57, -0.17, 0.35, 0.00 
9, True, 0.74, -0.76, 2.83, 0.01, -2.30, 0.00 
10, True, -0.09, -0.41, 2.89, -0.33, -2.62, 0.00 
11, True, -0.60, -0.24, 2.90, -1.81, -0.53, 0.00 
12, True, -0.25, -0.10, 3.06, 0.09, 2.13, 0.00 
13, True, 0.09, -0.51, 2.89, 0.65, 1.48, 0.00 
14, True, 0.11, 0.57, 2.85, -0.29, -1.26, 0.00 
15, True, -0.70, 0.71, 1.20, 5.54, -1.54, 0.00 
16, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
