Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, True, 0.37, -2.19, 1.76, -0.16, -1.30, 0.00 
9, True, -1.85, -1.90, 2.25, 2.41, -6.39, 0.00 
10, True, -3.42, -0.62, 2.22, 2.05, -2.84, 0.00 
11, True, -3.73, -0.97, 2.04, 0.96, -1.13, 0.00 
12, True, -1.67, -0.64, 1.95, 0.78, 0.07, 0.00 
13, True, -3.12, 0.30, 2.29, 0.83, -5.35, 0.00 
14, True, -3.34, -0.89, 2.20, 0.35, -1.77, 0.00 
15, True, -3.04, -0.35, 1.90, -0.55, -0.69, 0.00 
16, True, -3.00, -1.37, 1.88, 1.34, -1.79, 0.00 
17, True, -1.27, 0.20, 0.79, 3.70, -10.27, 0.00 
18, True, -1.12, 1.58, 1.57, -2.72, 3.66, 0.00 
19, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
