Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, True, 0.20, 0.50, 1.72, -0.29, 0.56, 0.00 
7, True, 0.28, -1.00, 1.90, -0.00, -0.61, 0.00 
8, True, 0.51, -2.21, 2.20, 0.33, 1.63, 0.00 
9, True, 0.67, -2.96, 2.22, -0.56, -1.02, 0.00 
10, True, -0.28, 1.57, 2.36, -0.15, -0.49, 0.00 
11, True, 0.78, -0.55, 2.37, 0.09, -0.10, 0.00 
12, True, -0.51, 0.29, 2.38, -1.37, -1.80, 0.00 
13, True, -1.99, -0.56, 2.17, -0.28, -1.34, 0.00 
14, True, -1.92, -0.59, 2.31, 0.02, 0.33, 0.00 
15, True, -2.11, -0.28, 2.22, -0.42, 0.34, 0.00 
16, True, -1.91, -0.03, 2.28, -0.47, 0.86, 0.00 
17, True, 0.09, 0.09, 2.41, -0.28, 0.49, 0.00 
18, True, -0.54, -0.07, 0.77, 2.15, -2.48, 0.00 
